Mod:Item:MetaData, Localized Name
minecraft:stone, 石头
minecraft:grass, 草方块
minecraft:dirt:0, 泥土
minecraft:dirt:2, 灰化土
minecraft:cobblestone, 圆石
minecraft:planks:0, 橡木木板
minecraft:planks:1, 云杉木板
minecraft:planks:2, 白桦木板
minecraft:planks:3, 丛林木板
minecraft:planks:4, 金合欢木板
minecraft:planks:5, 深色橡木木板
minecraft:sapling:0, 橡树树苗
minecraft:sapling:1, 云杉树苗
minecraft:sapling:2, 白桦树苗
minecraft:sapling:3, 丛林树苗
minecraft:sapling:4, 金合欢树苗
minecraft:sapling:5, 深色橡树树苗
minecraft:bedrock, 基岩
minecraft:flowing_water, 水
minecraft:water, 水
minecraft:flowing_lava, 岩浆
minecraft:lava, 岩浆
minecraft:sand:0, 沙子
minecraft:sand:1, 红沙
minecraft:gravel, 沙砾
minecraft:gold_ore, 金矿石
minecraft:iron_ore, 铁矿石
minecraft:coal_ore, 煤矿石
minecraft:log:0, 橡木
minecraft:log:1, 云杉木
minecraft:log:2, 白桦木
minecraft:log:3, 丛林木
minecraft:leaves:0, 橡树树叶
minecraft:leaves:1, 云杉树叶
minecraft:leaves:2, 白桦树叶
minecraft:leaves:3, 丛林树叶
minecraft:sponge, 海绵
minecraft:glass, 玻璃
minecraft:lapis_ore, 青金石矿石
minecraft:lapis_block, 青金石块
minecraft:dispenser, 发射器
minecraft:sandstone:0, 沙石
minecraft:sandstone:1, 錾制沙石
minecraft:sandstone:2, 平滑沙石
minecraft:noteblock, 音符盒
minecraft:golden_rail, 动力铁轨
minecraft:detector_rail, 探测铁轨
minecraft:sticky_piston, 粘性活塞
minecraft:web, 蜘蛛网
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, 蕨
minecraft:deadbush, 枯死的灌木
minecraft:piston, 活塞
minecraft:wool:0, 羊毛
minecraft:wool:1, 橙色羊毛
minecraft:wool:2, 品红色羊毛
minecraft:wool:3, 淡蓝色羊毛
minecraft:wool:4, 黄色羊毛
minecraft:wool:5, 黄绿色羊毛
minecraft:wool:6, 粉红色羊毛
minecraft:wool:7, 灰色羊毛
minecraft:wool:8, 淡灰色羊毛
minecraft:wool:9, 青色羊毛
minecraft:wool:10, 紫色羊毛
minecraft:wool:11, 蓝色羊毛
minecraft:wool:12, 棕色羊毛
minecraft:wool:13, 绿色羊毛
minecraft:wool:14, 红色羊毛
minecraft:wool:15, 黑色羊毛
minecraft:yellow_flower:0, 蒲公英
minecraft:red_flower:0, 罂粟
minecraft:red_flower:1, 兰花
minecraft:red_flower:2, 绒球葱
minecraft:red_flower:3, 茜草花
minecraft:red_flower:4, 红色郁金香
minecraft:red_flower:5, 橙色郁金香
minecraft:red_flower:6, 白色郁金香
minecraft:red_flower:7, 粉红色郁金香
minecraft:red_flower:8, 滨菊
minecraft:brown_mushroom, 蘑菇
minecraft:red_mushroom, 蘑菇
minecraft:gold_block, 金块
minecraft:iron_block, 铁块
minecraft:stone_slab:0, 石台阶
minecraft:stone_slab:1, 沙石台阶
minecraft:stone_slab:3, 圆石台阶
minecraft:stone_slab:4, 砖台阶
minecraft:stone_slab:5, 石砖台阶
minecraft:stone_slab:6, 地狱砖台阶
minecraft:stone_slab:7, 石英台阶
minecraft:brick_block, 砖块
minecraft:tnt, TNT
minecraft:bookshelf, 书架
minecraft:mossy_cobblestone, 苔石
minecraft:obsidian, 黑曜石
minecraft:torch, 火把
minecraft:fire, 火
minecraft:mob_spawner:0, 刷怪箱
minecraft:oak_stairs, 橡木楼梯
minecraft:chest, 箱子
minecraft:diamond_ore, 钻石矿石
minecraft:diamond_block, 钻石块
minecraft:crafting_table, 工作台
minecraft:farmland, 耕地
minecraft:furnace, 熔炉
minecraft:lit_furnace, 熔炉
minecraft:ladder, 梯子
minecraft:rail, 铁轨
minecraft:stone_stairs, 石楼梯
minecraft:lever, 拉杆
minecraft:stone_pressure_plate, 压力板
minecraft:wooden_pressure_plate, 压力板
minecraft:redstone_ore, 红石矿石
minecraft:redstone_torch, 红石火把
minecraft:stone_button, 按钮
minecraft:snow_layer:0, 雪
minecraft:ice, 冰
minecraft:snow, 雪
minecraft:cactus, 仙人掌
minecraft:clay, 粘土块
minecraft:jukebox, 唱片机
minecraft:fence, 栅栏
minecraft:pumpkin, 南瓜
minecraft:netherrack, 地狱岩
minecraft:soul_sand, 灵魂沙
minecraft:glowstone, 萤石
minecraft:portal, 传送门
minecraft:lit_pumpkin, 南瓜灯
minecraft:stained_glass:0, 白色染色玻璃
minecraft:stained_glass:1, 橙色染色玻璃
minecraft:stained_glass:2, 品红色染色玻璃
minecraft:stained_glass:3, 淡蓝色染色玻璃
minecraft:stained_glass:4, 黄色染色玻璃
minecraft:stained_glass:5, 黄绿色染色玻璃
minecraft:stained_glass:6, 粉红色染色玻璃
minecraft:stained_glass:7, 灰色染色玻璃
minecraft:stained_glass:8, 淡灰色染色玻璃
minecraft:stained_glass:9, 青色染色玻璃
minecraft:stained_glass:10, 紫色染色玻璃
minecraft:stained_glass:11, 蓝色染色玻璃
minecraft:stained_glass:12, 棕色染色玻璃
minecraft:stained_glass:13, 绿色染色玻璃
minecraft:stained_glass:14, 红色染色玻璃
minecraft:stained_glass:15, 黑色染色玻璃
minecraft:trapdoor, 活板门
minecraft:monster_egg:0, 石头怪物蛋
minecraft:monster_egg:1, 圆石怪物蛋
minecraft:monster_egg:2, 石砖怪物蛋
minecraft:monster_egg:3, 苔石砖怪物蛋
minecraft:monster_egg:4, 裂石砖怪物蛋
minecraft:monster_egg:5, 錾制石砖怪物蛋
minecraft:stonebrick:0, 石砖
minecraft:stonebrick:1, 苔石砖
minecraft:stonebrick:2, 裂石砖
minecraft:stonebrick:3, 錾制石砖
minecraft:brown_mushroom_block, 蘑菇
minecraft:red_mushroom_block, 蘑菇
minecraft:iron_bars, 铁栏杆
minecraft:glass_pane, 玻璃板
minecraft:melon_block, 西瓜
minecraft:vine, 藤蔓
minecraft:fence_gate, 栅栏门
minecraft:brick_stairs, 砖楼梯
minecraft:stone_brick_stairs, 石砖楼梯
minecraft:mycelium, 菌丝
minecraft:waterlily, 睡莲
minecraft:nether_brick, 地狱砖块
minecraft:nether_brick_fence, 地狱砖栅栏
minecraft:nether_brick_stairs, 地狱砖楼梯
minecraft:enchanting_table, 附魔台
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, 末地传送门
minecraft:end_stone, 末地石
minecraft:dragon_egg, 龙蛋
minecraft:redstone_lamp, 红石灯
minecraft:wooden_slab:0, 橡木台阶
minecraft:wooden_slab:1, 云杉台阶
minecraft:wooden_slab:2, 桦木台阶
minecraft:wooden_slab:3, 丛林台阶
minecraft:wooden_slab:4, 金合欢木台阶
minecraft:wooden_slab:5, 深色橡木台阶
minecraft:cocoa, 可可果
minecraft:sandstone_stairs, 沙石楼梯
minecraft:emerald_ore, 绿宝石矿石
minecraft:ender_chest, 末影箱
minecraft:tripwire_hook, 绊线钩
minecraft:emerald_block, 绿宝石块
minecraft:spruce_stairs, 云杉木楼梯
minecraft:birch_stairs, 桦木楼梯
minecraft:jungle_stairs, 丛林木楼梯
minecraft:command_block, 命令方块
minecraft:beacon, 信标
minecraft:cobblestone_wall:0, 圆石墙
minecraft:cobblestone_wall:1, 苔石墙
minecraft:carrots, 胡萝卜
minecraft:potatoes, 马铃薯
minecraft:wooden_button, 按钮
minecraft:anvil:0, 铁砧
minecraft:anvil:1, 轻微损坏的铁砧
minecraft:anvil:2, 严重损坏的铁砧
minecraft:trapped_chest, 陷阱箱
minecraft:light_weighted_pressure_plate, 测重压力板 (轻质)
minecraft:heavy_weighted_pressure_plate, 测重压力板 (重质)
minecraft:daylight_detector, 阳光传感器
minecraft:redstone_block, 红石块
minecraft:quartz_ore, 下界石英矿石
minecraft:hopper, 漏斗
minecraft:quartz_block:0, 石英块
minecraft:quartz_block:1, 錾制石英块
minecraft:quartz_block:2, 竖纹石英块
minecraft:quartz_stairs, 石英楼梯
minecraft:activator_rail, 激活铁轨
minecraft:dropper, 投掷器
minecraft:stained_hardened_clay:0, 白色染色粘土
minecraft:stained_hardened_clay:1, 橙色染色粘土
minecraft:stained_hardened_clay:2, 品红色染色粘土
minecraft:stained_hardened_clay:3, 淡蓝色染色粘土
minecraft:stained_hardened_clay:4, 黄色染色粘土
minecraft:stained_hardened_clay:5, 黄绿色染色粘土
minecraft:stained_hardened_clay:6, 粉色染色粘土
minecraft:stained_hardened_clay:7, 灰色染色粘土
minecraft:stained_hardened_clay:8, 淡灰色染色粘土
minecraft:stained_hardened_clay:9, 青色染色粘土
minecraft:stained_hardened_clay:10, 紫色染色粘土
minecraft:stained_hardened_clay:11, 蓝色染色粘土
minecraft:stained_hardened_clay:12, 棕色染色粘土
minecraft:stained_hardened_clay:13, 绿色染色粘土
minecraft:stained_hardened_clay:14, 红色染色粘土
minecraft:stained_hardened_clay:15, 黑色染色粘土
minecraft:stained_glass_pane:0, 白色染色玻璃板
minecraft:stained_glass_pane:1, 橙色染色玻璃板
minecraft:stained_glass_pane:2, 品红色染色玻璃板
minecraft:stained_glass_pane:3, 淡蓝色染色玻璃板
minecraft:stained_glass_pane:4, 黄色染色玻璃板
minecraft:stained_glass_pane:5, 黄绿色染色玻璃板
minecraft:stained_glass_pane:6, 粉红色染色玻璃板
minecraft:stained_glass_pane:7, 灰色染色玻璃板
minecraft:stained_glass_pane:8, 淡灰色染色玻璃板
minecraft:stained_glass_pane:9, 青色染色玻璃板
minecraft:stained_glass_pane:10, 紫色染色玻璃板
minecraft:stained_glass_pane:11, 蓝色染色玻璃板
minecraft:stained_glass_pane:12, 棕色染色玻璃板
minecraft:stained_glass_pane:13, 绿色染色玻璃板
minecraft:stained_glass_pane:14, 红色染色玻璃板
minecraft:stained_glass_pane:15, 黑色染色玻璃板
minecraft:leaves2:0, 金合欢树叶
minecraft:leaves2:1, 深色橡树树叶
minecraft:log2:0, 金合欢木
minecraft:log2:1, 深色橡木
minecraft:acacia_stairs, 金合欢木楼梯
minecraft:dark_oak_stairs, 深色橡木楼梯 
uncraftingTable:uncrafting_table, 拆解工作台
Thaumcraft:blockFluxGoo:0, 咒波粘浆
Thaumcraft:blockFluxGas:0, 咒波瓦斯
Thaumcraft:blockFluidPure, 净化之水
Thaumcraft:blockFluidDeath, 死亡之水  
minecraft:hay_block, 干草块
minecraft:carpet:0, 地毯
minecraft:carpet:1, 橙色地毯
minecraft:carpet:2, 品红色地毯
minecraft:carpet:3, 淡蓝色地毯
minecraft:carpet:4, 黄色地毯
minecraft:carpet:5, 黄绿色地毯
minecraft:carpet:6, 粉红色地毯
minecraft:carpet:7, 灰色地毯
minecraft:carpet:8, 淡灰色地毯
minecraft:carpet:9, 青色地毯
minecraft:carpet:10, 紫色地毯
minecraft:carpet:11, 蓝色地毯
minecraft:carpet:12, 棕色地毯
minecraft:carpet:13, 绿色地毯
minecraft:carpet:14, 红色地毯
minecraft:carpet:15, 黑色地毯
minecraft:hardened_clay, 硬化粘土
minecraft:coal_block, 煤炭块
minecraft:packed_ice, 浮冰
minecraft:double_plant:0, 向日葵
minecraft:double_plant:1, 丁香
minecraft:double_plant:2, 高草丛
minecraft:double_plant:3, 大型蕨
minecraft:double_plant:4, 玫瑰丛
minecraft:double_plant:5, 牡丹
Thaumcraft:blockCustomOre:0, 朱砂矿石
Thaumcraft:blockCustomOre:1, 风之蕴魔石
Thaumcraft:blockCustomOre:2, 火之蕴魔石
Thaumcraft:blockCustomOre:3, 水之蕴魔石
Thaumcraft:blockCustomOre:4, 地之蕴魔石
Thaumcraft:blockCustomOre:5, 秩序蕴魔石
Thaumcraft:blockCustomOre:6, 混沌蕴魔石
Thaumcraft:blockCustomOre:7, 琥珀矿石
Thaumcraft:blockMagicalLog:0, 宏伟之木原木
Thaumcraft:blockMagicalLog:1, 银树原木
Thaumcraft:blockMagicalLeaves:0, 宏伟之木树叶
Thaumcraft:blockMagicalLeaves:1, 银树树叶
Thaumcraft:blockCustomPlant:0, 宏伟之木树苗
Thaumcraft:blockCustomPlant:1, 银树树苗
Thaumcraft:blockCustomPlant:2, 水银花
Thaumcraft:blockCustomPlant:3, 火焰草
Thaumcraft:blockCustomPlant:4, 天域花
Thaumcraft:blockCustomPlant:5, 纤毛菇
Thaumcraft:blockTaint:0, 陈年污点
Thaumcraft:blockTaint:1, 腐化泥土
Thaumcraft:blockTaint:2, 血肉方块
Thaumcraft:blockTaintFibres:0, 腐化草丛
Thaumcraft:blockTaintFibres:1, 腐化草地
Thaumcraft:blockTaintFibres:2, 腐化植物
Thaumcraft:blockTaintFibres:3, 孢子梗
Thaumcraft:blockCosmeticOpaque:0, 琥珀方块
Thaumcraft:blockCosmeticOpaque:1, 琥珀砖块
Thaumcraft:blockCosmeticOpaque:2, 守卫者玻璃
Thaumcraft:blockCosmeticSolid:0, 黑曜石图腾
Thaumcraft:blockCosmeticSolid:1, 黑曜石瓦块
Thaumcraft:blockCosmeticSolid:2, 旅行者铺路石
Thaumcraft:blockCosmeticSolid:3, 守卫者铺路石
Thaumcraft:blockCosmeticSolid:4, 神秘方块
Thaumcraft:blockCosmeticSolid:5, 油脂方块
Thaumcraft:blockCosmeticSolid:6, 奥术石块
Thaumcraft:blockCosmeticSolid:7, 奥术石砖
Thaumcraft:blockCosmeticSolid:8, 蕴灵黑曜石图腾
Thaumcraft:blockCosmeticSolid:9, 傀儡脚镣
Thaumcraft:blockCosmeticSolid:11, 荒古石头
Thaumcraft:blockCosmeticSolid:12, 荒古岩石
Thaumcraft:blockCosmeticSolid:14, 陈年石头
Thaumcraft:blockCosmeticSolid:15, 荒古石座
Thaumcraft:blockCrystal:0, 风之魔晶
Thaumcraft:blockCrystal:1, 火之魔晶
Thaumcraft:blockCrystal:2, 水之魔晶
Thaumcraft:blockCrystal:3, 地之魔晶
Thaumcraft:blockCrystal:4, 秩序魔晶
Thaumcraft:blockCrystal:5, 混沌魔晶
Thaumcraft:blockCrystal:6, 复相魔晶
Thaumcraft:blockTube:0, 源质管道
Thaumcraft:blockTube:1, 源质阀门
Thaumcraft:blockTube:2, 奥法离心机
Thaumcraft:blockTube:3, 过滤源质管道
Thaumcraft:blockTube:4, 源质缓存器
Thaumcraft:blockTube:5, 限定源质管道
Thaumcraft:blockTube:6, 定向源质管道
Thaumcraft:blockTube:7, 源质结晶器
Thaumcraft:blockMetalDevice:0, 坩埚
Thaumcraft:blockMetalDevice:1, 奥术蒸馏器
Thaumcraft:blockMetalDevice:5, 物品格栅
Thaumcraft:blockMetalDevice:7, 奥术灯
Thaumcraft:blockMetalDevice:8, 催生灯
Thaumcraft:blockMetalDevice:13, 育种灯
Thaumcraft:blockMetalDevice:9, 炼金构材
Thaumcraft:blockMetalDevice:3, 高级炼金构材
Thaumcraft:blockMetalDevice:12, 记忆矩阵
Thaumcraft:blockMetalDevice:14, 魔力中继器
Thaumcraft:blockMetalDevice:2, 魔力充能中继器
Thaumcraft:blockWoodenDevice:0, 奥术风箱
Thaumcraft:blockWoodenDevice:1, 奥术之耳
Thaumcraft:blockWoodenDevice:2, 奥术压力盘
Thaumcraft:blockWoodenDevice:4, 奥术钻探机基座
Thaumcraft:blockWoodenDevice:5, 奥术钻探机
Thaumcraft:blockWoodenDevice:6, 宏伟之树木板
Thaumcraft:blockWoodenDevice:7, 银树木板
Thaumcraft:blockWoodenDevice:8, 血腥教徒旗帜
Thaumcraft:blockWoodenDevice:8, 白色旗帜
Thaumcraft:blockWoodenDevice:8, 橙色旗帜
Thaumcraft:blockWoodenDevice:8, 品红色旗帜
Thaumcraft:blockWoodenDevice:8, 浅蓝色旗帜
Thaumcraft:blockWoodenDevice:8, 黄色旗帜
Thaumcraft:blockWoodenDevice:8, 柠檬色旗帜
Thaumcraft:blockWoodenDevice:8, 粉色旗帜
Thaumcraft:blockWoodenDevice:8, 灰色旗帜
Thaumcraft:blockWoodenDevice:8, 浅灰色旗帜
Thaumcraft:blockWoodenDevice:8, 青色旗帜
Thaumcraft:blockWoodenDevice:8, 紫色旗帜
Thaumcraft:blockWoodenDevice:8, 蓝色旗帜
Thaumcraft:blockWoodenDevice:8, 棕色旗帜
Thaumcraft:blockWoodenDevice:8, 绿色旗帜
Thaumcraft:blockWoodenDevice:8, 红色旗帜
Thaumcraft:blockWoodenDevice:8, 黑色旗帜
Thaumcraft:blockStoneDevice:0, 炼金炉
Thaumcraft:blockStoneDevice:1, 奥术基座
Thaumcraft:blockStoneDevice:2, 符文矩阵
Thaumcraft:blockStoneDevice:5, 法杖充能基座
Thaumcraft:blockStoneDevice:8, 复合充能核心
Thaumcraft:blockStoneDevice:9, 节点稳定器
Thaumcraft:blockStoneDevice:10, 高级节点稳定器
Thaumcraft:blockStoneDevice:11, 节点换能器
Thaumcraft:blockStoneDevice:12, 奥术浴场
Thaumcraft:blockStoneDevice:13, 核心镶饰台
Thaumcraft:blockStoneDevice:14, 咒波洗涤器
Thaumcraft:blockMirror:0, 魔镜
Thaumcraft:blockMirror:6, 源质之镜
Thaumcraft:blockTable:0, 台桌
Thaumcraft:blockTable:14, 解构工作台
Thaumcraft:blockTable:15, 奥术工作台
Thaumcraft:blockChestHungry, 饕餮箱子
Thaumcraft:blockArcaneDoor, 奥能之扉
Thaumcraft:blockLifter, 奥术悬浮台
Thaumcraft:blockMagicBox, tile.blockMagicBox.name
Thaumcraft:blockAlchemyFurnace, 荒古炼金炉
Thaumcraft:blockJar:0, 源质罐子
Thaumcraft:blockJar:1, 缸中之脑
Thaumcraft:blockJar:3, 虚空罐子
Thaumcraft:blockCandle:0, 白色油脂蜡烛
Thaumcraft:blockCandle:1, 橙色油脂蜡烛
Thaumcraft:blockCandle:2, 品红色油脂蜡烛
Thaumcraft:blockCandle:3, 浅蓝色油脂蜡烛
Thaumcraft:blockCandle:4, 黄色油脂蜡烛
Thaumcraft:blockCandle:5, 柠檬色油脂蜡烛
Thaumcraft:blockCandle:6, 粉色油脂蜡烛
Thaumcraft:blockCandle:7, 灰色油脂蜡烛
Thaumcraft:blockCandle:8, 浅灰色油脂蜡烛
Thaumcraft:blockCandle:9, 青色油脂蜡烛
Thaumcraft:blockCandle:10, 紫色油脂蜡烛
Thaumcraft:blockCandle:11, 蓝色油脂蜡烛
Thaumcraft:blockCandle:12, 棕色油脂蜡烛
Thaumcraft:blockCandle:13, 绿色油脂蜡烛
Thaumcraft:blockCandle:14, 红色油脂蜡烛
Thaumcraft:blockCandle:15, 黑色油脂蜡烛
Thaumcraft:blockEldritch:4, 发光荒古石头
Thaumcraft:blockAiry:0, 灵气节点
Thaumcraft:blockManaPod, tile.blockManaPod.name
Thaumcraft:blockArcaneFurnace, 炼狱熔炉
Thaumcraft:blockWarded, tile.blockWarded.name
Thaumcraft:blockHole, 隙间
Thaumcraft:blockPortalEldritch, 邪术传送门
Thaumcraft:blockEssentiaReservoir:0, 源质库
Thaumcraft:blockEldritchNothing, tile.blockPortalNothing.name
Thaumcraft:blockStairsArcaneStone, 奥术楼梯
Thaumcraft:blockStairsGreatwood, 宏伟之木楼梯
Thaumcraft:blockStairsSilverwood, 银树楼梯
Thaumcraft:blockStairsEldritch, 荒古楼梯
Thaumcraft:blockCosmeticSlabWood:0, 宏伟之木台阶
Thaumcraft:blockCosmeticSlabWood:1, 银树台阶
Thaumcraft:blockCosmeticSlabStone:0, 奥术台阶
Thaumcraft:blockCosmeticSlabStone:1, 荒古台阶
Thaumcraft:blockCosmeticDoubleSlabWood, tile.blockCosmeticDoubleSlabWood.name
Thaumcraft:blockCosmeticDoubleSlabStone, tile.blockCosmeticDoubleSlabStone.name
Thaumcraft:blockLootUrn:0, 古旧之瓮
Thaumcraft:blockLootUrn:1, 古旧之瓮
Thaumcraft:blockLootUrn:2, 古旧之瓮
Thaumcraft:blockLootCrate:0, 废弃箱子
Thaumcraft:blockLootCrate:1, 废弃箱子
Thaumcraft:blockLootCrate:2, 废弃箱子
TwilightForest:tile.TFLog:0, 暮色橡树木
TwilightForest:tile.TFLog:1, 苍穹树木
TwilightForest:tile.TFLog:2, 红树木
TwilightForest:tile.TFLog:3, 黑树木
TwilightForest:tile.TFRoots:0, 根茎
TwilightForest:tile.TFRoots:1, 新鲜根茎
TwilightForest:tile.TFLeaves:0, 暮色橡木树叶
TwilightForest:tile.TFLeaves:1, 苍穹树叶
TwilightForest:tile.TFLeaves:2, 红树树叶
TwilightForest:tile.TFLeaves:3, 彩虹橡树叶
TwilightForest:tile.TFFirefly, 萤火虫
TwilightForest:tile.TFCicada, 蝉
TwilightForest:tile.TFPortal, 暮色森林入口
TwilightForest:tile.TFMazestone:0, 遗迹石头
TwilightForest:tile.TFMazestone:1, 遗迹石砖
TwilightForest:tile.TFMazestone:2, 雕刻的遗迹石头
TwilightForest:tile.TFMazestone:3, 装饰的遗迹石砖
TwilightForest:tile.TFMazestone:4, 破碎的遗迹石砖
TwilightForest:tile.TFMazestone:5, 遗迹苔石砖
TwilightForest:tile.TFMazestone:6, 遗迹石方块
TwilightForest:tile.TFMazestone:7, 遗迹石沿
